Name,State,decimalLatitude,decimalLongitude,year
Pinus rigida,Massachusetts,42.495678,-72.279842,2019
Pinus rigida,Massachusetts,42.298023,-72.237275,2019
Pinus rigida,Massachusetts,42.673128,-71.56838,2019
Pinus rigida,Massachusetts,42.677218,-71.562035,2019
Pinus rigida,New Jersey,40.381854,-74.349469,2019
Pinus rigida,Massachusetts,42.143473,-72.72902,2019
Pinus rigida,Massachusetts,41.881863,-69.98887,2019
Pinus rigida,Massachusetts,41.700475,-70.111305,2019
Pinus rigida,Massachusetts,41.700505,-70.111258,2019
Pinus rigida,Massachusetts,41.742122,-70.015367,2019
Pinus rigida,Massachusetts,41.742072,-70.015167,2019
Pinus rigida,Massachusetts,41.70048,-70.111594,2019
Pinus rigida,Massachusetts,41.882105,-69.990442,2019
Pinus rigida,Massachusetts,41.71957,-70.041533,2019
Pinus rigida,New Jersey,41.321119,-74.661343,2019
Pinus rigida,New York,40.708138,-73.419913,2019
Pinus rigida,Virginia,38.106279,-78.783597,2019
Pinus rigida,New York,40.707717,-73.42173,2019
Pinus rigida,New York,44.468056,-73.637779,2019
Pinus rigida,New Jersey,39.469709,-75.356115,2019
Pinus rigida,North Carolina,35.48988,-83.405767,2019
Pinus rigida,Massachusetts,41.742164,-70.499533,2019
Pinus rigida,Massachusetts,42.445279,-71.099048,2019
Pinus rigida,New Jersey,39.706275,-74.375862,2019
Pinus rigida,Connecticut,41.982986,-72.524979,2019
Pinus rigida,New York,41.002169,-72.075463,2019
Pinus rigida,Massachusetts,42.503397,-72.274365,2019
Pinus rigida,Massachusetts,42.499662,-72.276822,2019
Pinus rigida,Massachusetts,42.518045,-72.291588,2019
Pinus rigida,Massachusetts,42.518625,-72.291697,2019
Pinus rigida,West Virginia,39.646327,-79.977796,2019
Pinus rigida,Connecticut,41.479054,-72.056959,2019
Pinus rigida,Massachusetts,42.220534,-72.193627,2019
Pinus rigida,Massachusetts,42.220719,-72.192226,2019
Pinus rigida,Massachusetts,42.22101,-72.193299,2019
Pinus rigida,Massachusetts,42.261954,-72.255185,2019
Pinus rigida,Virginia,37.443112,-80.276588,2019
Pinus rigida,Virginia,37.431328,-80.288567,2019
Pinus rigida,Virginia,37.422092,-80.276283,2019
Pinus rigida,Virginia,37.431034,-80.28888,2019
Pinus rigida,Virginia,37.431263,-80.288558,2019
Pinus rigida,Massachusetts,42.244923,-72.257762,2019
Pinus rigida,North Carolina,35.082839,-83.619653,2019
Pinus rigida,Massachusetts,42.065746,-72.283784,2019
Pinus rigida,Massachusetts,42.065746,-72.283784,2019
Pinus rigida,Massachusetts,42.225445,-72.312702,2019
Pinus rigida,Massachusetts,41.734005,-70.382438,2019
Pinus rigida,Pennsylvania,40.962616,-75.126864,2019
Pinus rigida,Massachusetts,42.689764,-71.057302,2019
Pinus rigida,Pennsylvania,39.727643,-76.074483,2019
Pinus rigida,Pennsylvania,39.738587,-76.040191,2019
Pinus rigida,North Carolina,35.047067,-83.187363,2019
Pinus rigida,New York,42.700172,-73.844764,2019
Pinus rigida,New York,41.736158,-74.195521,2019
Pinus rigida,New York,41.763113,-74.156089,2019
Pinus rigida,New York,40.54209,-74.229342,2019
Pinus rigida,North Carolina,35.083331,-83.619897,2019
Pinus rigida,Massachusetts,41.843573,-70.004498,2019
Pinus rigida,Pennsylvania,40.821259,-77.948341,2019
Pinus rigida,Pennsylvania,40.78318,-77.949783,2019
Pinus rigida,Maine,44.329174,-68.18412,2019
Pinus rigida,Massachusetts,42.032155,-70.050765,2019
Pinus rigida,New Jersey,39.828157,-74.54815,2019
Pinus rigida,Maine,44.327561,-68.18515,2019
Pinus rigida,New Jersey,39.333596,-74.585067,2019
Pinus rigida,New Jersey,39.494352,-74.532039,2019
Pinus rigida,Pennsylvania,40.010466,-77.38663,2019
Pinus rigida,New York,42.134533,-73.495628,2019
Pinus rigida,Pennsylvania,40.08978,-77.271001,2019
Pinus rigida,Massachusetts,42.532307,-72.26137,2019
Pinus rigida,Massachusetts,42.532322,-72.26144,2019
Pinus rigida,New Hampshire,42.951327,-70.822725,2019
Pinus rigida,Maine,44.326101,-68.220275,2019
Pinus rigida,Massachusetts,41.943103,-70.019126,2019
Pinus rigida,Massachusetts,41.654583,-69.962814,2019
Pinus rigida,Massachusetts,42.298952,-72.237446,2019
Pinus rigida,Massachusetts,41.675922,-70.165025,2019
Pinus rigida,New York,40.622313,-73.625434,2019
Pinus rigida,New Jersey,39.881089,-74.530316,2019
Pinus rigida,Massachusetts,42.267662,-72.632376,2019
Pinus rigida,New York,41.78867,-74.118561,2019
Pinus rigida,Indiana,39.541351,-87.234218,2019
Pinus rigida,New York,41.76427,-74.156236,2019
Pinus rigida,Massachusetts,42.440446,-71.341175,2019
Pinus rigida,Massachusetts,42.412293,-71.760303,2019
Pinus rigida,Maine,43.475556,-70.385833,2019
